1,330096024
2,18558384
3,5284947
4,1301661
5,1008914
6,459728
7,650200
8,259610
9,454267
10,512371
11,567612
12,260161
13,163633
14,343012
15,115589
16,111129
17,122236
18,294364
19,263730
20,234416
21,104766
22,132619
23,120069
24,15574110
25,3297531
26,704612
27,289123
28,113974
29,25631
30,36758
31,56531
32,111687
33,94831
34,4597
35,8313
36,606752
37,1444856
38,20706
39,32705
40,41191
41,37043
42,60097
43,16193
44,51930
45,190679
46,296135
47,973564
48,926280
49,617647
50,1292843
51,712429
52,763993
53,545835
54,698220
55,434623
56,3200891
57,5321347
58,1962499
59,1076042
60,3352306
61,1613925
62,12494497
63,9585979
64,4217360
65,480349
66,145446
67,136215
68,80686
69,11455
70,13216
71,4445
72,12017
73,3547
74,2287
75,527
76,12412
77,552
78,5618
79,1546
80,9570
81,7954
82,14156
83,3246
84,14562
85,10934
86,104218
87,47901
88,795215
89,97075
90,19747
91,1511
92,928
93,3345
94,6282
95,156740
96,15742
97,43884
98,7034
99,2603
100,3161
101,4784
102,2021
103,80290
104,2581
105,12589
106,97374
107,2043
108,16768
109,6105
110,60081
111,181351
112,167608
113,46192
114,48158
115,95202
116,148711
117,177923
118,102227
119,65403
120,749270
121,361701
122,45557
123,59926
124,133292
125,210695
126,534966
127,760887
128,483184
129,65370
130,39974
131,5798
132,6611
133,2490
134,121
135,147
136,56
137,87
138,57
139,161
140,9
141,27
142,76
143,44
144,43
145,257
146,40
147,99
148,88
149,99
150,70
151,109
152,25277
153,33413
154,678
155,85
156,102
157,2552
158,210
159,38
160,65
161,791
162,450
163,70
164,113
165,752
166,414
167,429
168,942
169,14993
170,1237
171,132
172,115
173,3797
174,41801
175,20158
176,10636
177,10163
178,46016
179,23476
180,8499
181,88980
182,131527
183,76482
184,63892
185,6496
186,4505
187,34854
188,76571
189,13827
190,24363
191,66593
192,28651
193,3500
194,788
195,467
196,96
197,14
198,1
199,2
200,2
201,2
202,1
203,1
205,39
206,11
207,6
208,328
209,171
210,6
213,5
214,339
215,32
216,1264
217,40
218,68
219,4
220,5
221,14
222,42
223,6
224,29
225,124
226,12
227,21
228,9
229,31
230,81
231,92
232,81
233,26
234,804
235,69
236,31
237,155
238,3046
239,347
240,796
241,2992
242,86483
243,78415
244,95523
245,25782
246,8448
247,1338
248,893
249,199
250,185
251,211
252,1418
253,2767
254,9522
255,14321
256,11499
257,1647
258,239
259,161
260,124
261,9
262,1
266,2
278,1
279,5
280,212
281,30
282,47
283,2
284,49
285,8
293,2
294,1
295,2
296,16
297,11
298,13
299,21
300,5
301,24
302,582
303,62
304,133
305,142
306,303
307,89
308,97
309,412
310,3393
311,666
312,206
313,384
314,440
315,77
316,26
317,314901
318,21707
319,5156
320,720
321,185
322,3451
323,58
324,15
325,4
326,591
332,1
335,1
336,16
344,171
345,6
352,234
354,1
356,201
358,21
360,1
365,13
366,765
367,94
368,39
369,1
370,1
372,2
373,6
374,4
375,28
376,25
377,7
379,15
380,164
381,1220
382,1095
383,444
384,127
385,7
387,6
388,9
389,2
404,17
408,1070
409,1579
410,153
422,9
424,378
429,3
430,17
431,96
432,19
433,29
434,13
435,7
436,4
439,8
440,29
441,918
442,178
443,119
444,39
445,42
446,22333
447,2277
448,11
449,2
452,1
453,1
486,2
493,1
504,27
506,2
507,8
510,2
511,13494
512,310
513,96
514,5
568,109
573,198
574,48
575,383
576,176
577,54
578,2
620,1
621,12
622,29
623,1989
624,638
625,234
626,152
627,65
628,22
629,13
631,16
632,22
633,405
634,923
635,379
636,208
637,196
638,44
639,63
640,2
696,1
698,1
703,26
704,786
705,15
765,795
766,102
767,2
768,1
769,1
831,3
886,1
895,2
957,3
958,8
1023,1
1024,3
1151,1
1152,1
1216,1
1343,3
1470,1
1471,2
1535,2
1663,1
1664,1
1727,2
1919,1
2303,1
2367,1
2495,1
2559,1
2687,1
2815,1
3071,1
3327,1
3519,1
4031,1
4479,1
4544,1
4735,1
4927,1
5631,1
6463,1
6655,1
8895,1
11839,1
12800,1
